tempo,mao,angulo,velocidade_px_s,tempo_up_s
16.09,Left,0.00,0.00,0.00
16.13,Right,0.00,392.31,12.47
16.13,Left,0.00,0.00,0.00
16.21,Right,0.00,579.66,12.47
16.21,Left,0.00,0.00,0.00
16.25,Right,0.00,631.42,12.47
16.25,Left,0.00,0.00,0.00
16.31,Right,0.00,568.33,12.47
16.31,Left,0.00,0.00,0.00
16.38,Right,0.00,488.47,12.47
16.38,Left,0.00,0.00,0.00
16.46,Right,0.00,525.80,12.47
16.46,Left,0.00,0.00,0.00
16.51,Right,0.00,546.08,12.47
16.51,Left,0.00,0.00,0.00
16.57,Right,0.00,521.00,12.47
16.57,Left,0.00,0.00,0.00
16.63,Right,0.00,517.16,12.47
16.63,Left,0.00,0.00,0.00
16.69,Right,0.00,355.34,12.47
16.69,Left,0.00,0.00,0.00
16.75,Right,0.00,231.18,12.47
16.75,Left,0.00,0.00,0.00
16.81,Right,0.00,94.96,12.47
16.81,Left,0.00,0.00,0.00
16.88,Right,0.00,169.85,12.47
16.88,Left,0.00,0.00,0.00
16.93,Right,0.00,195.01,12.47
16.93,Left,0.00,0.00,0.00
16.99,Right,0.00,246.29,12.47
16.99,Left,0.00,0.00,0.00
17.06,Right,0.00,269.80,12.47
17.06,Left,0.00,0.00,0.00
17.13,Right,0.00,320.71,12.47
17.13,Left,0.00,0.00,0.00
17.19,Right,0.00,286.36,12.47
17.19,Left,0.00,0.00,0.00
17.24,Right,0.00,349.85,12.47
17.24,Left,0.00,0.00,0.00
17.31,Right,0.00,349.85,12.47
17.31,Left,0.00,0.00,0.00
17.39,Right,0.00,632.14,12.47
17.39,Left,0.00,364.12,0.00
17.44,Right,0.00,632.14,12.47
17.44,Left,0.00,724.32,0.00
17.51,Right,0.00,632.14,12.47
17.51,Left,0.00,669.59,0.00
17.57,Right,0.00,632.14,12.47
17.57,Left,0.00,588.03,0.00
17.62,Right,0.00,632.14,12.47
17.62,Left,0.00,576.53,0.00
17.68,Right,0.00,632.14,12.47
17.68,Left,0.00,569.63,0.00
17.74,Right,0.00,632.14,12.47
17.74,Left,0.00,466.51,0.00
17.80,Right,0.00,632.14,12.47
17.80,Left,0.00,383.55,0.00
